[1696795945.0626] Target device IP address: 10.12.6.5
[1696795945.0627] Target device NTCIP port: 501
[1696795945.0627] Verifying the network connection with the target SNMP device...
[1696795945.0627] PING test begins
[1696795945.0671] PING test successful
[1696795945.0671] Successfully verified the network connection with the target SNMP device
[1696795945.0692] Ready to forward SNMP GET/SET requests
[1696795962.5986] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.3.0; Value=2
[1696795962.6994] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.1; Value=40
[1696795962.7013] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.2; Value=40
[1696795962.7031] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.3; Value=40
[1696795962.7051] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.4; Value=40
[1696795962.7070] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.5; Value=40
[1696795962.7088] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.6; Value=40
[1696795962.7106] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.7; Value=40
[1696795962.7126] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.8; Value=40
[1696795962.7145] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.1; Value=10
[1696795962.7165] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.2; Value=10
[1696795962.7186] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.3; Value=10
[1696795962.7205] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.4; Value=10
[1696795962.7225] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.5; Value=10
[1696795962.7245] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.6; Value=10
[1696795962.7264] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.7; Value=10
[1696795962.7285] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.8; Value=10
[1696795962.7305] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.1; Value=1
[1696795962.7324] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.2; Value=1
[1696795962.7343] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.3; Value=1
[1696795962.7362] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.4; Value=1
[1696795962.7382] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.5; Value=2
[1696795962.7402] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.6; Value=2
[1696795962.7464] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.7; Value=2
[1696795962.7504] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.8; Value=2
[1696795962.7526] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.13.0; Value=8
[1696795962.7546] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.14.1.3.1; Value=0
[1696795962.7566] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.14.1.3.2; Value=0
[1696795962.7588] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.14.1.3.3; Value=0
[1696795962.7607] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.14.1.3.4; Value=0
[1696795962.7628] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.14.1.3.5; Value=0
[1696795962.7648] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.14.1.3.6; Value=0
[1696795962.7668] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.14.1.3.7; Value=0
[1696795962.7688] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.14.1.3.8; Value=0
[1696796364.5830] SUCCESS in SET for OID:1.3.6.1.4.1.1206.4.2.1.1.5.1.6.1; Value=0
[1696796364.5846] SUCCESS in SET for OID:1.3.6.1.4.1.1206.4.2.1.1.5.1.7.1; Value=0
[1696796364.5863] SUCCESS in SET for OID:1.3.6.1.4.1.1206.4.2.1.1.5.1.5.1; Value=0
[1696796364.5879] SUCCESS in SET for OID:1.3.6.1.4.1.1206.4.2.1.1.5.1.4.1; Value=0
[1696796364.5896] SUCCESS in SET for OID:1.3.6.1.4.1.1206.4.2.1.1.5.1.2.1; Value=0
[1696796364.5911] SUCCESS in SET for OID:1.3.6.1.4.1.1206.4.2.1.1.5.1.3.1; Value=0
