[1696796457.8775] Target device IP address: 10.12.6.5
[1696796457.8776] Target device NTCIP port: 501
[1696796457.8776] Verifying the network connection with the target SNMP device...
[1696796457.8776] PING test begins
[1696796457.8819] PING test successful
[1696796457.8819] Successfully verified the network connection with the target SNMP device
[1696796457.8835] Ready to forward SNMP GET/SET requests
[1696796473.6956] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.3.0; Value=2
[1696796473.8272] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.5; Value=2
[1696796473.8289] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.6; Value=2
[1696796473.8305] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.7; Value=2
[1696796473.8321] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.8; Value=2
[1696796473.8342] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.13.0; Value=8
[1696796473.8361] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.14.1.3.1; Value=0
[1696796473.8379] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.14.1.3.2; Value=0
[1696796473.8398] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.14.1.3.3; Value=0
[1696796473.8417] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.14.1.3.4; Value=0
[1696796473.8436] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.14.1.3.5; Value=0
[1696796473.8454] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.14.1.3.6; Value=0
[1696796473.8473] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.14.1.3.7; Value=0
[1696796473.8492] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.14.1.3.8; Value=0
[1696797073.8789] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.1; Value=1
[1696797073.8808] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.2; Value=2
[1696797073.8828] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.3; Value=3
[1696797073.8847] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.4; Value=4
[1696797073.8866] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.5; Value=5
[1696797073.8885] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.6; Value=6
[1696797073.8959] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.7; Value=7
[1696797073.8979] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.8; Value=8
[1696797073.8998] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.1; Value=0
[1696797073.9016] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.2; Value=7
[1696797073.9035] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.3; Value=0
[1696797073.9055] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.4; Value=7
[1696797073.9073] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.5; Value=0
[1696797073.9092] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.6; Value=7
[1696797073.9110] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.7; Value=0
[1696797073.9128] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.8; Value=7
[1696797073.9148] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.1; Value=0
[1696797073.9166] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.2; Value=8
[1696797073.9186] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.3; Value=0
[1696797073.9206] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.4; Value=8
[1696797073.9224] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.5; Value=0
[1696797073.9242] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.6; Value=8
[1696797073.9260] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.7; Value=0
[1696797073.9279] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.8; Value=8
[1696797073.9297] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.1; Value=5
[1696797073.9316] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.2; Value=10
[1696797073.9334] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.3; Value=5
[1696797073.9352] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.4; Value=5
[1696797073.9369] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.5; Value=5
[1696797073.9387] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.6; Value=10
[1696797073.9406] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.7; Value=5
[1696797073.9423] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.8; Value=5
[1696797073.9442] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.1; Value=40
[1696797073.9461] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.2; Value=50
[1696797073.9478] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.3; Value=40
[1696797073.9497] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.4; Value=50
[1696797073.9514] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.5; Value=40
[1696797073.9533] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.6; Value=50
[1696797073.9552] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.7; Value=40
[1696797073.9570] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.8; Value=50
[1696797073.9589] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.1; Value=25
[1696797073.9608] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.2; Value=35
[1696797073.9626] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.3; Value=25
[1696797073.9645] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.4; Value=35
[1696797073.9662] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.5; Value=25
[1696797073.9681] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.6; Value=35
[1696797073.9699] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.7; Value=25
[1696797073.9718] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.8; Value=35
[1696797073.9737] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.1; Value=40
[1696797073.9755] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.2; Value=40
[1696797073.9773] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.3; Value=40
[1696797073.9792] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.4; Value=40
[1696797073.9808] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.5; Value=40
[1696797073.9827] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.6; Value=40
[1696797073.9845] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.7; Value=40
[1696797073.9864] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.8; Value=40
[1696797073.9882] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.1; Value=10
[1696797073.9944] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.2; Value=10
[1696797073.9962] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.3; Value=10
[1696797073.9981] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.4; Value=10
[1696797074.0001] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.5; Value=10
[1696797074.0021] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.6; Value=10
[1696797074.0040] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.7; Value=10
[1696797074.0058] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.8; Value=10
[1696797074.0077] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.1; Value=1
[1696797074.0094] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.2; Value=1
[1696797074.0113] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.3; Value=1
[1696797074.0132] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.4; Value=1
[1696797074.0151] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.5; Value=2
[1696797074.0169] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.6; Value=2
[1696797074.0188] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.7; Value=2
[1696797074.0208] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.8; Value=2
[1696797673.8794] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.1; Value=1
[1696797673.8813] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.2; Value=2
[1696797673.8832] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.3; Value=3
[1696797673.8851] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.4; Value=4
[1696797673.8869] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.5; Value=5
[1696797673.8888] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.6; Value=6
[1696797673.8908] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.7; Value=7
[1696797673.8927] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.8; Value=8
[1696797673.8946] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.1; Value=0
[1696797673.8964] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.2; Value=7
[1696797673.8983] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.3; Value=0
[1696797673.9002] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.4; Value=7
[1696797673.9021] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.5; Value=0
[1696797673.9041] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.6; Value=7
[1696797673.9060] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.7; Value=0
[1696797673.9079] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.8; Value=7
[1696797673.9099] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.1; Value=0
[1696797673.9117] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.2; Value=8
[1696797673.9136] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.3; Value=0
[1696797673.9154] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.4; Value=8
[1696797673.9172] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.5; Value=0
[1696797673.9191] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.6; Value=8
[1696797673.9250] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.7; Value=0
[1696797673.9270] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.8; Value=8
[1696797673.9291] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.1; Value=5
[1696797673.9313] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.2; Value=10
[1696797673.9332] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.3; Value=5
[1696797673.9351] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.4; Value=5
[1696797673.9371] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.5; Value=5
[1696797673.9391] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.6; Value=10
[1696797673.9411] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.7; Value=5
[1696797673.9430] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.8; Value=5
[1696797673.9449] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.1; Value=40
[1696797673.9469] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.2; Value=50
[1696797673.9488] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.3; Value=40
[1696797673.9507] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.4; Value=50
[1696797673.9527] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.5; Value=40
[1696797673.9546] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.6; Value=50
[1696797673.9565] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.7; Value=40
[1696797673.9582] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.8; Value=50
[1696797673.9602] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.1; Value=25
[1696797673.9621] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.2; Value=35
[1696797673.9638] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.3; Value=25
[1696797673.9658] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.4; Value=35
[1696797673.9678] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.5; Value=25
[1696797673.9697] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.6; Value=35
[1696797673.9717] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.7; Value=25
[1696797673.9735] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.8; Value=35
[1696797673.9754] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.1; Value=40
[1696797673.9774] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.2; Value=40
[1696797673.9793] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.3; Value=40
[1696797673.9813] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.4; Value=40
[1696797673.9832] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.5; Value=40
[1696797673.9850] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.6; Value=40
[1696797673.9868] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.7; Value=40
[1696797673.9886] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.8; Value=40
[1696797673.9906] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.1; Value=10
[1696797673.9926] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.2; Value=10
[1696797673.9945] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.3; Value=10
[1696797673.9965] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.4; Value=10
[1696797673.9983] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.5; Value=10
[1696797674.0003] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.6; Value=10
[1696797674.0022] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.7; Value=10
[1696797674.0042] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.8; Value=10
[1696797674.0061] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.1; Value=1
[1696797674.0080] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.2; Value=1
[1696797674.0099] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.3; Value=1
[1696797674.0118] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.4; Value=1
[1696797674.0137] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.5; Value=2
[1696797674.0157] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.6; Value=2
[1696797674.0176] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.7; Value=2
[1696797674.0237] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.8; Value=2
[1696798273.8789] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.1; Value=1
[1696798273.8810] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.2; Value=2
[1696798273.8830] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.3; Value=3
[1696798273.8850] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.4; Value=4
[1696798273.8868] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.5; Value=5
[1696798273.8886] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.6; Value=6
[1696798273.8905] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.7; Value=7
[1696798273.8922] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.8; Value=8
[1696798273.8941] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.1; Value=0
