[1696796370.2736] Target device IP address: 10.12.6.5
[1696796370.2737] Target device NTCIP port: 501
[1696796370.2737] Verifying the network connection with the target SNMP device...
[1696796370.2737] PING test begins
[1696796370.2778] PING test successful
[1696796370.2779] Successfully verified the network connection with the target SNMP device
[1696796370.2793] Ready to forward SNMP GET/SET requests
[1696796388.1399] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.3.0; Value=2
[1696796388.2391] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.8; Value=35
[1696796388.2411] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.1; Value=40
[1696796388.2431] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.2; Value=40
[1696796388.2450] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.3; Value=40
[1696796388.2471] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.4; Value=40
[1696796388.2489] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.5; Value=40
[1696796388.2507] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.6; Value=40
[1696796388.2524] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.7; Value=40
[1696796388.2544] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.8; Value=40
[1696796388.2565] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.1; Value=10
[1696796388.2992] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.2; Value=10
[1696796388.3013] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.3; Value=10
[1696796388.3032] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.4; Value=10
[1696796388.3050] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.5; Value=10
[1696796388.3073] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.6; Value=10
[1696796388.3094] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.7; Value=10
[1696796388.3115] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.8; Value=10
[1696796388.3137] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.1; Value=1
[1696796388.3156] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.2; Value=1
[1696796388.3176] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.3; Value=1
[1696796388.3196] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.4; Value=1
[1696796388.3216] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.5; Value=2
[1696796388.3237] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.6; Value=2
[1696796388.3258] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.7; Value=2
[1696796388.3280] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.8; Value=2
[1696796388.3305] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.13.0; Value=8
[1696796388.3323] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.14.1.3.1; Value=0
[1696796388.3343] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.14.1.3.2; Value=0
[1696796388.3362] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.14.1.3.3; Value=0
[1696796388.3382] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.14.1.3.4; Value=0
[1696796388.3402] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.14.1.3.5; Value=0
[1696796388.3422] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.14.1.3.6; Value=0
[1696796388.3442] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.14.1.3.7; Value=0
[1696796388.3460] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.14.1.3.8; Value=0
[1696796408.0656] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.4.1.8.1; Value=221
[1696796408.0678] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.4.1.9.1; Value=0
[1696796408.1656] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.4.1.8.1; Value=221
[1696796408.1677] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.4.1.9.1; Value=0
[1696796416.0651] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.4.1.8.1; Value=221
[1696796416.0670] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.4.1.9.1; Value=0
[1696796424.0654] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.4.1.8.1; Value=221
[1696796424.0674] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.4.1.9.1; Value=0
[1696796428.0655] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.4.1.8.1; Value=221
[1696796428.0672] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.4.1.9.1; Value=0
[1696796436.1658] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.4.1.8.1; Value=221
[1696796436.1676] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.4.1.9.1; Value=0
[1696796444.1658] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.4.1.8.1; Value=221
[1696796444.1676] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.4.1.9.1; Value=0
[1696796452.1678] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.4.1.11.1; Value=68
[1696796455.1138] SUCCESS in SET for OID:1.3.6.1.4.1.1206.4.2.1.1.5.1.6.1; Value=0
[1696796455.1154] SUCCESS in SET for OID:1.3.6.1.4.1.1206.4.2.1.1.5.1.7.1; Value=0
[1696796455.1169] SUCCESS in SET for OID:1.3.6.1.4.1.1206.4.2.1.1.5.1.5.1; Value=0
[1696796455.1185] SUCCESS in SET for OID:1.3.6.1.4.1.1206.4.2.1.1.5.1.4.1; Value=0
[1696796455.1200] SUCCESS in SET for OID:1.3.6.1.4.1.1206.4.2.1.1.5.1.2.1; Value=0
[1696796455.1216] SUCCESS in SET for OID:1.3.6.1.4.1.1206.4.2.1.1.5.1.3.1; Value=0
